"","Country","Year","CO2","GDP","Tourism","Renewable","Urban"
"164","Uruguay",1998,1.72817545022824,9441.99488249053,2163000,36.9013916362703,91.45
"165","Uruguay",1999,2.03302708696341,9211.42751530013,2073000,33.2984391534701,91.743
"166","Uruguay",2000,1.5983647494861,9001.7500477883,1968000,38.8027071332468,92.028
"167","Uruguay",2001,1.53054798520391,8640.77851986829,1892000,40.9510491754613,92.303
"168","Uruguay",2002,1.38916549410109,7971.3137761405,1258000,43.0394780131148,92.569
"169","Uruguay",2003,1.3835371041873,8041.24017800451,1420000,43.1122732606324,92.828
"170","Uruguay",2004,1.68916168594926,8449.20908935891,1756000,38.3179355726719,93.078
"171","Uruguay",2005,1.73867173941381,9078.63745609633,1808000,39.9087530407415,93.319
"172","Uruguay",2006,1.99923888878364,9440.50698017137,1749000,35.6563013734305,93.553
"173","Uruguay",2007,1.80172005754335,10038.8950929108,1753000,41.4626700906707,93.779
"174","Uruguay",2008,2.4745123152031,10732.011276611,1938000,43.2751939289489,93.998
"175","Uruguay",2009,2.40622257197413,11155.8452473939,2055000,45.2937671017776,94.209
"176","Uruguay",2010,1.90157519107546,11992.0166266335,2353000,52.8186124978599,94.414
"177","Uruguay",2011,2.30430130124247,12574.9035699536,2857000,48.8424942288547,94.612
"178","Uruguay",2012,2.57310562318621,12981.1401128346,2695000,46.9248622014668,94.739
"179","Uruguay",2013,2.23843031250894,13541.207109277,2683000,50.746273021398,94.843
"180","Uruguay",2014,1.98424083514046,13934.576170547,2682000,55.3913387150355,94.945
